settlement_id,gps_visit_status,missed_indicator,x_32632,y_32632,analysis_scenario,weights_specification,neighbour_count,local_moran_i,quadrant,raw_permutation_p_value,fdr_adjusted_p_value,raw_significant,fdr_adjusted_significant,spatial_lag,local_cluster_raw,local_cluster_fdr
D00083,unvisited,1,292727.9505114694,1214793.6472482136,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.993,0.998,False,False,1.0,Not significant,Not significant
D00184,unvisited,1,291250.45033384155,1194339.6020945322,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.989,0.998,False,False,1.0,Not significant,Not significant
D00230,unvisited,1,329235.5218270611,1221393.8456561218,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301474,4,0.332,0.998,False,False,0.875,Not significant,Not significant
D00246,unvisited,1,309384.6444406346,1214243.6421422274,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.444,0.998,False,False,0.875,Not significant,Not significant
D00320,unvisited,1,302900.9237382026,1219278.8521485473,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.411,0.998,False,False,0.875,Not significant,Not significant
D00347,unvisited,1,309979.0719810901,1173217.3638429588,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.989,0.998,False,False,1.0,Not significant,Not significant
D00363,unvisited,1,298038.5316842005,1179849.539276289,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.987,0.998,False,False,1.0,Not significant,Not significant
D00378,unvisited,1,324588.1065242919,1184594.1053575275,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.995,0.998,False,False,1.0,Not significant,Not significant
D00511,unvisited,1,309617.38781367696,1246490.4167740382,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.991,0.998,False,False,1.0,Not significant,Not significant
D00555,unvisited,1,321521.24723101396,1244435.9797659046,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.20206974093046753,4,0.132,0.998,False,False,0.75,Not significant,Not significant
D00578,unvisited,1,318632.33621437417,1241550.1112545081,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.20206974093046756,4,0.123,0.998,False,False,0.75,Not significant,Not significant
D00752,unvisited,1,327034.76006243296,1213093.3006990103,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.998,0.998,False,False,1.0,Not significant,Not significant
D00943,unvisited,1,325604.4169029206,1155977.1959801589,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.33498621637792036,4,0.07,0.9914337349397588,False,False,0.625,Not significant,Not significant
D01074,unvisited,1,330770.7925286072,1266432.349564858,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.988,0.998,False,False,1.0,Not significant,Not significant
D01108,unvisited,1,340539.6248114151,1235704.493743848,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.43,0.998,False,False,0.875,Not significant,Not significant
D01175,unvisited,1,337951.43295633746,1242902.0145193,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.446,0.998,False,False,0.875,Not significant,Not significant
D01209,unvisited,1,348529.8824304248,1247241.2351715367,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301474,4,0.312,0.998,False,False,0.875,Not significant,Not significant
D01332,unvisited,1,348761.9376061891,1175886.171661285,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.428,0.998,False,False,0.875,Not significant,Not significant
D01432,unvisited,1,349443.8797802975,1226358.3010279727,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.99,0.998,False,False,1.0,Not significant,Not significant
D01536,unvisited,1,371677.2993911884,1174646.22604188,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.422,0.998,False,False,0.875,Not significant,Not significant
D01632,unvisited,1,369296.8577190872,1244713.3558363442,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.994,0.998,False,False,1.0,Not significant,Not significant
D01686,unvisited,1,372958.1629421665,1218413.5386632264,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.991,0.998,False,False,1.0,Not significant,Not significant
D01757,unvisited,1,382913.4450600792,1266870.010349011,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.42,0.998,False,False,0.875,Not significant,Not significant
D01765,unvisited,1,380948.475074125,1271152.183322698,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.33498621637792025,4,0.078,0.998,False,False,0.625,Not significant,Not significant
D01777,unvisited,1,382511.8625252401,1267828.4737312642,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301474,4,0.322,0.998,False,False,0.875,Not significant,Not significant
D01839,unvisited,1,377997.0822822917,1201200.8745515572,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301473,4,0.447,0.998,False,False,0.875,Not significant,Not significant
D01905,unvisited,1,381934.92453923135,1226638.7392427195,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,0.06376320996443807,1,0.989,0.998,False,False,1.0,Not significant,Not significant
D01917,unvisited,1,390215.7981266178,1214847.8187771826,primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,8,-0.06915326548301474,4,0.326,0.998,False,False,0.875,Not significant,Not significant
